id,text,label
1,The government announced a new policy to improve public healthcare access.,Real
2,Scientists discovered a new species of frog in the Amazon rainforest.,Real
3,The central bank raised interest rates to control inflation this quarter.,Real
4,Local schools will reopen next week after the holiday break.,Real
5,The company reported steady growth in its quarterly earnings report.,Real
6,Researchers published a study on renewable energy efficiency improvements.,Real
7,The city council approved funding for new public transportation routes.,Real
8,A new vaccine trial showed promising results in early clinical stages.,Real
9,The stock market closed slightly higher after a stable trading session.,Real
10,Local farmers reported a good harvest season due to favorable weather.,Real
11,Shocking! Scientists confirm the moon is actually a hologram made by aliens.,Fake
12,You won't believe this one weird trick that cures all diseases overnight.,Fake
13,Secret government files reveal the earth is flat and NASA is hiding it.,Fake
14,"Celebrity secretly replaced by a robot clone, insiders claim.",Fake
15,Miracle fruit found to reverse aging completely within 24 hours.,Fake
16,"Government plans to ban all sunlight starting next month, sources say.",Fake
17,This ancient text predicts the exact date the world will end next year.,Fake
18,Doctors hate this simple trick that makes you lose 20kg in a week.,Fake
19,Breaking: time travel machine invented in a random man's garage.,Fake
20,"Aliens spotted controlling world leaders, anonymous whistleblower claims.",Fake
