id,title,category,level,duration_hours,rating,description
1,Python Programming Fundamentals,Programming,Beginner,12,4.6,"Learn Python syntax, data types, loops, and functions through hands-on coding exercises."
2,Advanced Python for Data Science,Data Science,Advanced,20,4.7,"Master NumPy, Pandas, and data manipulation techniques for real-world data science projects."
3,Machine Learning A-Z,AI & Machine Learning,Intermediate,30,4.8,"Build and evaluate machine learning models covering regression, classification, and clustering."
4,Deep Learning with Neural Networks,AI & Machine Learning,Advanced,25,4.7,Understand neural network architectures and build deep learning models using modern frameworks.
5,Natural Language Processing Basics,AI & Machine Learning,Intermediate,18,4.5,"Learn text preprocessing, tokenization, and how to build simple text classification models."
6,Full-Stack Web Development,Web Development,Beginner,40,4.6,"Build complete web applications using HTML, CSS, JavaScript, and a backend framework."
7,React for Frontend Developers,Web Development,Intermediate,16,4.5,"Build interactive user interfaces with React components, hooks, and state management."
8,Backend Development with Flask,Web Development,Intermediate,14,4.4,Learn to build REST APIs and backend services using the Flask framework.
9,Introduction to Cloud Computing,Cloud Computing,Beginner,10,4.3,"Understand core cloud concepts, deployment models, and popular cloud service providers."
10,AWS Certified Solutions Architect Prep,Cloud Computing,Advanced,28,4.7,Prepare for the AWS certification exam by mastering core architecture and deployment principles.
11,DevOps and CI/CD Pipelines,Cloud Computing,Intermediate,16,4.5,Learn to automate testing and deployment using modern CI/CD tools and practices.
12,Cybersecurity Fundamentals,Cybersecurity,Beginner,14,4.5,"Understand core security principles, common threats, and best practices for safe systems."
13,Ethical Hacking and Penetration Testing,Cybersecurity,Advanced,22,4.6,Learn how attackers exploit systems and how to defend against real-world security threats.
14,Network Security Essentials,Cybersecurity,Intermediate,15,4.4,"Explore firewalls, VPNs, and network monitoring techniques to secure infrastructure."
15,UI/UX Design Principles,Design,Beginner,12,4.6,"Learn the fundamentals of user-centered design, wireframing, and prototyping."
16,Advanced Figma for Product Design,Design,Intermediate,10,4.5,"Master advanced Figma workflows for designing polished, production-ready interfaces."
17,Graphic Design Masterclass,Design,Beginner,18,4.4,"Learn typography, color theory, and layout design using industry-standard tools."
18,Digital Marketing Essentials,Marketing,Beginner,10,4.4,"Understand SEO, social media marketing, and content strategy for growing an audience."
19,Data-Driven Marketing Analytics,Marketing,Intermediate,14,4.5,Learn to analyze marketing campaigns and make data-informed decisions.
20,Social Media Advertising Strategy,Marketing,Beginner,8,4.3,Learn to plan and run effective ad campaigns across major social media platforms.
21,Business Fundamentals for Startups,Business,Beginner,12,4.4,"Learn the essentials of building and running a startup, from idea to execution."
22,Financial Accounting Basics,Finance,Beginner,14,4.3,"Understand core accounting principles, financial statements, and business reporting."
23,Personal Finance and Investing,Finance,Beginner,9,4.6,"Learn budgeting, saving, and the fundamentals of investing for long-term growth."
24,Project Management Professional Prep,Business,Advanced,24,4.7,Prepare for project management certification by mastering planning and leadership frameworks.
25,Public Speaking and Communication Skills,Personal Development,Beginner,8,4.6,Build confidence and clarity in public speaking through practical exercises and feedback.
26,Time Management and Productivity,Personal Development,Beginner,6,4.5,Learn practical techniques to prioritize tasks and manage time more effectively.
27,Leadership and Team Management,Personal Development,Intermediate,12,4.5,Develop leadership skills to manage teams and drive results in the workplace.
28,Spanish for Beginners,Language Learning,Beginner,20,4.6,"Learn conversational Spanish through vocabulary, grammar, and speaking practice."
29,French Language Foundations,Language Learning,Beginner,18,4.5,"Build a strong foundation in French grammar, pronunciation, and everyday conversation."
30,Business English Communication,Language Learning,Intermediate,10,4.4,"Improve professional English communication skills for meetings, emails, and presentations."
31,Photography Basics,Photography,Beginner,8,4.5,"Learn camera settings, composition, and lighting to take better photographs."
32,Portrait and Studio Photography,Photography,Intermediate,12,4.6,Master studio lighting setups and techniques for professional portrait photography.
33,Mobile Photography and Editing,Photography,Beginner,6,4.3,Learn to shoot and edit stunning photos using just a smartphone.
34,Music Production Fundamentals,Music,Beginner,14,4.5,"Learn the basics of music production, mixing, and using a digital audio workstation."
35,Guitar for Beginners,Music,Beginner,10,4.6,"Learn basic chords, strumming patterns, and your first songs on guitar."
36,Advanced Music Theory,Music,Advanced,16,4.4,"Deepen your understanding of harmony, scales, and composition techniques."
37,Yoga and Mindfulness Basics,Health & Fitness,Beginner,6,4.6,Learn foundational yoga poses and mindfulness practices for stress relief and flexibility.
38,Strength Training Fundamentals,Health & Fitness,Beginner,8,4.5,Understand proper form and programming basics for building strength safely.
39,Nutrition Science Essentials,Health & Fitness,Beginner,10,4.4,Learn the fundamentals of nutrition science to build healthier eating habits.
40,SQL for Data Analysis,Data Science,Beginner,10,4.6,"Learn to write SQL queries to extract, filter, and analyze data from relational databases."
41,Data Visualization with Tableau,Data Science,Intermediate,12,4.5,Learn to build interactive dashboards and visualizations to communicate data insights.
42,Statistics for Data Science,Data Science,Intermediate,16,4.6,Build a solid statistical foundation for hypothesis testing and data-driven decision making.
43,Introduction to Blockchain Technology,Programming,Beginner,9,4.2,Understand how blockchain works and explore its applications beyond cryptocurrency.
44,Mobile App Development with Flutter,Programming,Intermediate,20,4.5,Build cross-platform mobile apps for iOS and Android using a single codebase.
45,Game Development with Unity,Programming,Intermediate,22,4.6,Learn to design and build 2D and 3D games using the Unity game engine.
